Sample Index,PPO Waveform,Other Waveform,SpO2,Heart Rate
749,2,70,99,70
750,2,68,99,70
751,2,66,99,70
752,2,64,99,70
753,1,63,99,70
754,1,61,99,70
755,1,60,99,70
756,1,255,99,70
757,1,0,99,70
758,1,0,99,70
759,1,0,99,70
760,0,0,99,70
761,1,0,99,70
762,1,0,99,70
763,2,0,99,70
764,4,0,99,70
765,6,50,99,70
766,8,49,99,70
767,9,47,99,70
768,10,44,99,70
769,10,43,99,70
770,9,42,99,70
771,9,40,99,70
772,8,39,99,70
773,7,38,99,70
774,7,36,99,70
775,6,35,99,70
776,6,34,99,70
777,5,33,99,70
778,5,32,99,70
779,5,31,99,70
780,5,30,99,70
781,5,30,99,70
782,5,29,99,70
783,5,255,99,70
784,5,0,99,70
785,5,0,99,70
786,5,0,99,70
787,5,0,99,70
788,4,0,99,70
789,4,0,99,70
790,3,0,99,70
791,3,0,99,70
792,3,73,99,70
793,2,75,99,70
794,2,74,99,70
795,1,73,99,70
796,1,70,99,70
797,1,68,99,70
798,1,66,99,70
799,0,65,99,70
800,0,63,99,70
801,0,61,99,70
802,0,60,99,70
803,0,58,99,70
804,0,56,99,70
805,0,56,99,70
806,0,56,99,70
807,0,56,99,70
808,0,56,99,70
809,0,56,99,70
810,0,255,99,70
811,0,0,99,70
812,0,0,99,70
813,1,0,99,70
814,2,0,99,70
815,5,0,99,70
816,7,0,99,70
817,9,0,99,70
818,10,0,99,70
819,11,39,99,70
820,11,38,99,70
821,11,37,99,70
822,10,36,99,70
823,10,35,99,70
824,10,34,99,70
825,9,34,99,70
826,9,33,99,70
827,9,33,99,70
828,8,32,99,70
829,8,31,99,70
830,7,30,99,70
831,7,30,99,70
832,7,31,99,70
833,7,34,99,70
834,7,40,99,70
835,7,49,99,70
836,7,58,99,70
837,7,255,99,70
838,7,0,99,70
839,6,0,99,70
840,6,0,99,73
841,6,0,99,73
842,5,0,99,73
843,5,0,99,73
844,4,0,99,73
845,4,0,99,73
846,4,57,99,73
847,3,55,99,73
848,3,54,99,73
849,3,54,99,73
850,3,55,99,73
851,2,55,99,73
852,2,56,99,73
853,2,56,99,73
854,2,55,99,73
855,2,54,99,73
856,1,53,99,73
857,1,51,99,73
858,1,50,99,73
859,1,49,99,73
860,1,47,99,73
861,1,45,99,73
862,1,44,99,73
863,1,43,99,73
864,1,255,99,73
865,3,0,99,73
866,6,0,99,73
867,7,0,99,73
868,8,0,99,73
869,10,0,99,73
870,11,0,99,73
871,11,0,99,73
872,11,0,99,73
873,10,33,99,73
874,10,34,99,73
875,9,39,99,73
876,9,47,99,73
877,9,56,99,73
878,8,65,99,73
879,8,73,99,73
880,7,78,99,73
881,7,81,99,73
882,7,81,99,73
883,7,80,99,73
884,7,78,99,73
885,7,77,99,73
886,7,76,99,73
887,7,74,99,73
888,6,73,99,73
889,6,71,99,73
890,6,69,99,73
891,6,255,99,73
892,5,0,99,73
893,5,0,99,73
894,5,0,99,73
895,4,0,99,73
896,4,0,99,73
897,3,0,99,73
898,3,0,99,73
899,3,0,99,73
900,2,54,99,72
901,2,52,99,72
902,2,51,99,72
903,2,50,99,72
904,2,48,99,72
905,1,46,99,72
906,1,45,99,72
907,1,43,99,72
908,1,42,99,72
909,1,42,99,72
910,1,41,99,72
911,0,40,99,72
912,0,39,99,72
913,1,39,99,72
914,1,38,99,72
915,2,37,99,72
916,4,37,99,72
917,6,36,99,72
918,8,255,99,72
919,9,0,99,72
920,9,0,99,72
921,10,0,99,72
922,10,0,99,72
923,10,0,99,72
924,9,0,99,72
925,9,0,99,72
926,8,0,99,72
927,8,81,99,72
928,7,79,99,72
929,6,77,99,72
930,6,75,99,72
931,6,73,99,72
932,5,71,99,72
933,5,67,99,72
934,5,66,99,72
935,6,65,99,72
936,6,63,99,72
937,6,62,99,72
938,6,62,99,72
939,5,61,99,72
940,5,61,99,72
941,5,61,99,72
942,4,60,99,72
943,4,58,99,72
944,3,56,99,72
945,3,255,99,72
946,3,0,99,72
947,3,0,99,72
948,2,0,99,72
949,2,0,99,72
950,2,0,99,72
951,1,0,99,72
952,1,0,99,72
953,1,0,99,72
954,1,38,99,72
955,1,37,99,72
956,1,36,99,72
957,0,36,99,72
958,0,35,99,72
959,0,34,99,72
960,0,34,99,72
961,1,32,99,72
962,1,32,99,72
963,3,32,99,72
964,5,35,99,72
965,7,40,99,72
966,9,49,99,72
967,10,58,99,72
968,11,67,99,72
969,11,75,99,72
970,11,79,99,72
971,10,81,99,72
972,10,255,99,72
973,10,0,99,72
974,9,0,99,72
975,9,0,99,72
976,9,0,99,72
977,8,0,99,72
978,8,0,99,72
979,7,0,99,72
980,7,0,99,72
981,7,60,99,72
982,6,60,99,72
983,6,60,99,72
984,6,60,99,72
985,6,59,99,72
986,6,58,99,72
987,6,57,99,72
988,6,55,99,72
989,5,54,99,72
990,5,52,99,72
991,4,50,99,72
992,4,49,99,72
993,3,47,99,72
994,3,46,99,72
995,3,44,99,72
996,2,42,99,72
997,2,41,99,72
998,2,40,99,72
999,2,255,99,72
1000,1,0,99,72
1001,1,0,99,72
1002,1,0,99,72
1003,1,0,99,72
1004,1,0,99,72
1005,1,0,99,72
1006,0,0,99,72
1007,0,0,99,72
1008,0,35,99,72
1009,1,40,99,72
1010,1,48,99,72
1011,2,56,99,72
1012,4,66,99,72
1013,7,73,99,72
1014,9,78,99,72
1015,10,80,99,72
1016,11,79,99,72
1017,11,77,99,72
1018,11,75,99,72
1019,11,72,99,72
1020,10,70,99,70
1021,10,67,99,70
1022,9,64,99,70
1023,9,61,99,70
1024,8,60,99,70
1025,8,59,99,70
1026,7,255,99,70
1027,7,0,99,70
1028,6,0,99,70
1029,6,0,99,70
1030,6,0,99,70
1031,6,0,99,70
1032,6,0,99,70
1033,5,0,99,70
1034,5,0,99,70
1035,5,50,99,70
1036,5,49,99,70
1037,4,47,99,70
1038,4,46,99,70
1039,4,44,99,70
1040,3,43,99,70
1041,3,41,99,70
1042,2,40,99,70
1043,2,39,99,70
1044,2,39,99,70
1045,1,38,99,70
1046,1,37,99,70
1047,1,36,99,70
1048,0,35,99,70
1049,0,35,99,70
1050,0,36,99,70
1051,0,38,99,70
1052,0,44,99,70
1053,0,255,99,70
1054,0,0,99,70
1055,0,0,99,70
1056,0,0,99,70
1057,0,0,99,70
1058,0,0,99,70
1059,0,0,99,70
1060,0,0,99,70
1061,1,0,99,70
1062,3,72,99,70
1063,6,70,99,70
1064,8,68,99,70
1065,10,66,99,70
1066,11,64,99,70
1067,11,63,99,70
1068,11,63,99,70
1069,10,63,99,70
1070,10,63,99,70
1071,9,63,99,70
1072,9,62,99,70
1073,8,61,99,70
1074,8,59,99,70
1075,7,57,99,70
1076,7,55,99,70
1077,7,52,99,70
1078,6,51,99,70
1079,6,50,99,70
1080,6,255,99,70
1081,6,0,99,70
1082,6,0,99,70
1083,6,0,99,70
1084,6,0,99,70
1085,6,0,99,70
1086,6,0,99,70
1087,5,0,99,70
1088,5,0,99,70
1089,4,37,99,70
1090,4,36,99,70
1091,4,36,99,70
1092,3,37,99,70
1093,3,41,99,70
1094,2,49,99,70
1095,2,57,99,70
1096,2,68,99,70
1097,1,78,99,70
1098,1,84,99,70
1099,1,87,99,70
1100,1,87,99,70
1101,1,87,99,70
1102,0,86,99,70
1103,0,84,99,70
1104,0,81,99,70
1105,0,79,99,70
1106,0,77,99,70
1107,0,255,99,70
1108,0,0,99,70
1109,0,0,99,70
1110,0,0,99,70
1111,1,0,99,70
1112,3,0,99,70
1113,5,0,99,70
1114,7,0,99,70
1115,9,0,99,70
1116,10,57,99,70
1117,11,55,99,70
1118,10,53,99,70
1119,10,50,99,70
1120,9,50,99,70
1121,9,47,99,70
1122,8,45,99,70
1123,8,44,99,70
1124,7,42,99,70
1125,6,41,99,70
1126,6,40,99,70
1127,6,39,99,70
1128,6,38,99,70
1129,6,37,99,70
1130,6,36,99,70
1131,6,35,99,70
1132,6,34,99,70
1133,6,34,99,70
1134,6,255,99,70
1135,6,0,99,70
1136,5,0,99,70
1137,5,0,99,70
1138,5,0,99,70
1139,4,0,99,70
1140,4,0,99,68
1141,3,0,99,68
1142,3,0,99,68
1143,3,81,99,68
1144,2,79,99,68
1145,2,76,99,68
1146,1,74,99,68
1147,1,72,99,68
1148,1,70,99,68
1149,1,67,99,68
1150,1,66,99,68
1151,0,65,99,68
1152,0,62,99,68
1153,0,60,99,68
1154,0,58,99,68
1155,0,57,99,68
1156,1,57,99,68
